service (원래 사업 이름)	띄어쓰기한 사업 이름 	category_one	category_two	category_three	assigned	summary
해외철도관계자 초청교육사업	해외 철도 관계자 초청 교육 사업	산업중소기업	무역및투자유치	무역 	79900000	0
핸드레일 하나가 동네 언덕의 높이를 낮춥니다(노후계단 정비, 동작구, 주민참여)	핸드레일 동네 언덕 높이 노후 계단 정비 동작구 주민참여 	수송및교통	도로	도로관리 	45000000	45000000
햇빛발전소 프로젝트 청기누설 운영(주민참여)	햇빛 발전소 프로젝트 청기누설 운영 주민참여 	사회복지	노인청소년	노인생활안정 	0	66000000
행당동 138~158번지 일대 침수방지	행당동 138 158번지 일대 침수 방지	환경보호	상하수도및수질	상수도 	2200000000	2400000000
행당동 142-4구간 외 1개소 사각형거 보수보강	행당동 142-4구간 1개소 사각형거 보수 보강	환경보호	상하수도및수질	상수도 	510000000	510000000
행당동 푸르지오APT~행당초교간 하수관 개량	행당동 푸르지오 APT 행당초교 하수관 개량	환경보호	상하수도및수질	상수도 	0	0
행복플러스작업장 설치	행복플러스 근로 사업장 작업장 설치	사회복지	취약계층지원	장애인생활안정지원 	0	1600000000
행복한 가족 커뮤니티센터 설치	행복한 가족 커뮤니티 센터 설치	사회복지	보육가족및여성	가족기능강화 	1200000000	1200000000
행복한 가족학교 운영(주민참여예산)	행복한 가족 학교 운영 주민참여 	사회복지	보육가족및여성	가족기능강화 	50000000	50000000
행정 데이터 통합 및 열린데이터 광장 확장	행정 데이터 통합 열린 데이터 광장 확장	일반공공행정	일반행정	일반행정지원 	1654218000	7144548000
행정서비스 시민 평가	행정 서비스 시민 평가	일반공공행정	일반행정	일반행정지원 	498300000	2561900000
행정수요 대비 공유재산 확보	행정 수요 대비 공유 재산 확보	일반공공행정	일반행정	일반행정지원 	89455000000	4.91088E+11
행정심판 위원회 운영	행정 심판 위원회 운영	일반공공행정	일반행정	일반행정지원 	119100000	621180000
행정업무 지도 제작을 위한 GIS클라우드 서비스 구축	행정 업무 지도 제작 GIS 클라우드 서비스 구축	일반공공행정	일반행정	일반행정지원 	0	440000000
행정장비 및 사업용 장비 구매	행정 장비 사업용 장비 구매	지역개발	지역및도시	건설건축 	131024000	600121000
행정장비 및 사업용장비 구매	행정 장비 사업용 장비 구매	지역개발	지역및도시	건설건축 	73088000	325859000
행정장비구매	행정 장비 구매	환경보호	환경보호일반	도시환경 	15738000	114738000
행정장비구매	행정 장비 구매	환경보호	환경보호일반	도시환경 	288620000	1447170000
행정장비구입	행정 장비 구입	환경보호	상하수도및수질	상수도 	696967000	3659079000
행정정보시스템 구축	행정 정보 시스템 구축	환경보호	상하수도및수질	상수도 	1758794000	11929255000
행정정보시스템 유지보수	행정 정보 시스템 유지 보수 	환경보호	상하수도및수질	상수도 	2005022000	12655343000
행정정보통신망 운영 지원	행정 정보통신망 운영 지원	일반공공행정	일반행정	일반행정지원 	723868000	3724310000
행정포털 운영 및 유지보수	행정 포털 운영 유지 보수 	일반공공행정	일반행정	일반행정지원 	338236000	1643870000
향토 핵심자원 시범사업	향토 핵심 자원 시범 사업	산업중소기업	산업진흥고도화	산업진흥 	0	170000000
현장중심의 의견수렴 및 환류	현장 중심 의견 수렴 환류	일반공공행정	일반행정	일반행정지원 	123176000	689704000
현지 글로벌 기업연계 관광마케팅	현지 글로벌 기업 연계 관광 마케팅	문화체육관광	관광	관광정책 	0	80000000
현충근린공원(동작) 조성	현충 근린공원 동작 조성	지역개발	지역및도시	건설건축 	1400000000	13139820000
